Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes,Link,Value
15837,765578,852218,3/1/2006 0:00,Charter Discontinued,Merger,20060301,2006,"BANC ONE FINANCIAL SERVICES, INC.                                                                                       ",Chase,"BANC ONE FINANCIAL SERVICES, INC. transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
16920,2476083,852218,3/18/2005 0:00,Charter Discontinued,Merger,20050318,2005,BANC ONE MANAGEMENT CORPORATION                                                                                         ,Chase,"BANC ONE MANAGEMENT CORPORATION transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
17324,173333,852218,11/13/2004 0:00,Charter Discontinued,Merger,20041113,2004,"BANK ONE, NATIONAL ASSOCIATION, [CHICAGO MAIN]",Chase,"BANK ONE, NATIONAL ASSOCIATION transferred its assets to one or more institutions including JPMORGAN CHASE BANK. ",,
17325,651411,852218,11/13/2004 0:00,Charter Discontinued,Merger,20041113,2004,"BANK ONE, NATIONAL ASSOCIATION, [BROAD STREET DOWNTOWN]",Chase,"BANK ONE, NATIONAL ASSOCIATION transferred its assets to one or more institutions including JPMORGAN CHASE BANK. ",,
20640,1038176,852218,12/21/2001 0:00,Charter Discontinued,Merger,20011221,2001,WHITKATH INC.                                                                                                           ,Chase,WHITKATH INC. transferred its assets to one or more institutions including JPMORGAN CHASE BANK. ,,
20789,161415,852218,11/10/2001 0:00,Charter Discontinued,Merger,20011110,2001,MORGAN GUARANTY TRUST COMPANY OF NEW YORK,Chase,"MORGAN GUARANTY TRUST COMPANY OF NEW YORK transferred its assets to one or more institutions including CHASE MANHATTAN BANK, THE. ",,
21165,871460,852218,8/1/2001 0:00,Charter Discontinued,Merger,20010801,2001,"CHASE BANK OF TEXAS-SAN ANGELO, NATIONAL ASSOCIATION",Chase,"CHASE BANK OF TEXAS-SAN ANGELO, NATIONAL ASSOCIATION transferred its assets to one or more institutions including CHASE MANHATTAN BANK, THE. ",,
22647,43557,852218,8/1/2000 0:00,Charter Discontinued,Merger,20000801,2000,"CHASE BANK OF TEXAS, NATIONAL ASSOCIATION",Chase,"CHASE BANK OF TEXAS, NATIONAL ASSOCIATION transferred its assets to one or more institutions including CHASE MANHATTAN BANK, THE. ",,
22647,43557,852218,8/1/2000 0:00,Charter Discontinued,Merger,20000801,2000,CHASE MANHATTAN & JP MORGAN,Chase,Chase Manhattan acquired J.P. Morgan at a value of $30.9B,,
24823,35619,852218,3/5/1999 0:00,Charter Discontinued,Merger,19990305,1999,TEXAS COMMERCE TRUST COMPANY OF NEW YORK                                                                                ,Chase,"TEXAS COMMERCE TRUST COMPANY OF NEW YORK transferred its assets to one or more institutions including CHASE MANHATTAN BANK, THE. ",,
