Giga Banks,Chase,Bank of America,Citigroup,Wells Fargo
Blackrock,0.066199996,0.0598,0.083900005,0.1475
Fidelity,0.0281,0.035799999,0.0111,0.1201
State Street,0.0434,0.0361,0.0431,0.0834
Vanguard,0.163800003,0.135400001,0.155199995,0.327699982
Total,0.301499999,0.2671,0.2933,0.6786999819999999
