Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name
15324,701651,451965,2006-09-23 00:00:00,Charter Discontinued,Merger,20060923,2006,"PUEBLO MESSENGER SERVICE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
15562,821951,451965,2006-06-17 00:00:00,Charter Discontinued,Merger,20060617,2006,"ROGERS SOUTH BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
16439,2328230,451965,2005-09-24 00:00:00,Charter Discontinued,Purchase/Acquisition,20050924,2005,"DIXIE FARM ROAD STORE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
16544,1146101,451965,2005-08-01 00:00:00,Charter Discontinued,Merger,20050801,2005,"WELLS FARGO BUSINESS CREDIT, INC.                                                                                       ",Wells Fargo
17861,1632332,451965,2004-05-08 00:00:00,Charter Discontinued,Merger,20040508,2004,"WELLS FARGO HOME MORTGAGE, INC.                                                                                         ",Wells Fargo
17920,882671,451965,2004-04-24 00:00:00,Charter Discontinued,Merger,20040424,2004,PACIFIC NORTHWEST BANK                                                                                                  ,Wells Fargo
17936,1120772,451965,2004-04-16 00:00:00,Charter Discontinued,Merger,20040416,2004,WELLS FARGO SERVICES COMPANY                                                                                            ,Wells Fargo
18093,49362,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"PHOENIX MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18094,239323,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"VAN WERT BRANCH [FLAGSTAR BANK, NATIONAL ASSOCIATION]",Wells Fargo
18096,352558,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"MARQUETTE DOWNTOWN BRANCH [FLAGSTAR BANK, NATIONAL ASSOCIATION]",Wells Fargo
18097,417448,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"INDIANA CENTER BRANCH [FLAGSTAR BANK, NATIONAL ASSOCIATION]",Wells Fargo
18098,428752,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK SOUTH DAKOTA, NATIONAL ASSOCIATION                                                                     ",Wells Fargo
18099,599951,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"LOMAS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18100,655576,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"LAS VEGAS TOWER BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18101,660842,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"DOWNTOWN MB BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18102,794541,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"MILWAUKEE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18103,928850,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"FARGO MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18104,985134,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"GALESBURG BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18105,995151,451965,2004-02-20 00:00:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO CENTER SKYWAY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18397,559254,451965,2003-12-06 00:00:00,Charter Discontinued,Merger,20031206,2003,"MESA MALL BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18448,67852,451965,2003-11-21 00:00:00,Charter Discontinued,Merger,20031121,2003,"CASPER DOWNTOWN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18449,68569,451965,2003-11-21 00:00:00,Charter Discontinued,Merger,20031121,2003,"NORTHERN LIGHTS & C STREET BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18450,627555,451965,2003-11-21 00:00:00,Charter Discontinued,Merger,20031121,2003,"BILLINGS DOWNTOWN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18451,723354,451965,2003-11-21 00:00:00,Charter Discontinued,Merger,20031121,2003,"OMAHA MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18452,728854,451965,2003-11-21 00:00:00,Charter Discontinued,Merger,20031121,2003,"DENVER MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18453,765756,451965,2003-11-21 00:00:00,Charter Discontinued,Merger,20031121,2003,"THOUSAND OAKS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22133,163969,451965,2000-12-16 00:00:00,Charter Discontinued,Merger,20001216,2000,"BARRANCA TOWERS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22594,517768,451965,2000-08-25 00:00:00,Charter Discontinued,Merger,20000825,2000,"NAPA DOWNTOWN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22608,172961,451965,2000-08-18 00:00:00,Charter Discontinued,Merger,20000818,2000,"FELICITA VILLAGE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22732,732851,451965,2000-07-08 00:00:00,Charter Discontinued,Merger,20000708,2000,"WELLS FARGO BANK SAN FRANCISCO OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
23295,2309574,451965,2000-02-18 00:00:00,Charter Discontinued,Merger,20000218,2000,"WELLS FARGO BANK (ARIZONA), NATIONAL ASSOCIATION                                                                        ",Wells Fargo
27878,650151,451965,1997-06-01 00:00:00,Charter Discontinued,Merger,19970601,1997,"DENVER MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29132,529060,451965,1996-09-01 00:00:00,Charter Discontinued,Merger,19960901,1996,"CENTRAL & WASHINGTON BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29578,29971,451965,1996-06-06 00:00:00,Charter Discontinued,Merger,19960606,1996,"SEATTLE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29595,289467,451965,1996-06-01 00:00:00,Charter Discontinued,Merger,19960601,1996,"TOWER BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29605,550868,451965,1996-06-01 00:00:00,Charter Discontinued,Merger,19960601,1996,"BOISE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29606,603979,451965,1996-06-01 00:00:00,Charter Discontinued,Merger,19960601,1996,"GATEWAY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29615,793254,451965,1996-06-01 00:00:00,Charter Discontinued,Merger,19960601,1996,"SANTA FE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29618,977960,451965,1996-06-01 00:00:00,Charter Discontinued,Merger,19960601,1996,"5TH & JEFFERSON BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29819,669667,451965,1996-04-01 00:00:00,Charter Discontinued,Purchase/Acquisition,19960401,1996,FIRST INTERSTATE BANK OF CALIFORNIA                                                                                     ,Wells Fargo
39011,716963,451965,1991-01-01 00:00:00,Charter Discontinued,Not Applicable,19910101,1991,"HARBOR BOULEVARD BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
39033,1009064,451965,1991-01-01 00:00:00,Charter Discontinued,Not Applicable,19910101,1991,"ANAHEIM BRANCH #3 [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
40468,329569,451965,1990-04-01 00:00:00,Charter Discontinued,Not Applicable,19900401,1990,"SOLANA BEACH BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
40506,26363,451965,1990-03-31 00:00:00,Charter Discontinued,Not Applicable,19900331,1990,AMERICAN NATIONAL BANK                                                                                                  ,Wells Fargo
40800,795865,451965,1990-01-02 00:00:00,Charter Discontinued,Not Applicable,19900102,1990,"GLENDALE BRAND OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
41547,832461,451965,1989-08-01 00:00:00,Charter Discontinued,Not Applicable,19890801,1989,"PARADISE OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
43473,232865,451965,1988-06-01 00:00:00,Charter Discontinued,Not Applicable,19880601,1988,"SAN FRANCISCO MAIN OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
46845,696364,451965,1986-05-31 00:00:00,Charter Discontinued,Not Applicable,19860531,1986,"MARKET FINANCIAL BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
54679,698069,451965,1979-07-14 00:00:00,Charter Discontinued,Not Applicable,19790714,1979,"SAN LUIS OBISPO BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
54945,417961,451965,1978-05-06 00:00:00,Charter Discontinued,Not Applicable,19780506,1978,"ORANGE PLAZA BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
55595,136262,451965,1974-08-24 00:00:00,Charter Discontinued,Not Applicable,19740824,1974,"BUENA PARK BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
55656,960869,451965,1974-01-22 00:00:00,Charter Discontinued,Not Applicable,19740122,1974,"BEVERLY HILLS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56158,184861,451965,1970-11-07 00:00:00,Charter Discontinued,Not Applicable,19701107,1970,"HOLTVILLE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56252,370963,451965,1970-04-11 00:00:00,Charter Discontinued,Not Applicable,19700411,1970,"SANTA MARIA BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56399,187965,451965,1969-05-30 00:00:00,Charter Discontinued,Not Applicable,19690530,1969,"VENTURA OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56474,25861,451965,1968-11-09 00:00:00,Charter Discontinued,Not Applicable,19681109,1968,AZUSA VALLEY SAVINGS BANK                                                                                               ,Wells Fargo
56476,907967,451965,1968-11-09 00:00:00,Charter Discontinued,Not Applicable,19681109,1968,"AZUSA BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56540,648260,451965,1968-04-13 00:00:00,Charter Discontinued,Not Applicable,19680413,1968,"COLORADO-ORANGE GROVE BLVD BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56987,833468,451965,1965-01-04 00:00:00,Charter Discontinued,Not Applicable,19650104,1965,"JACKSON BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57180,884563,451965,1963-08-31 00:00:00,Charter Discontinued,Not Applicable,19630831,1963,STATE CENTER BANK                                                                                                       ,Wells Fargo
57457,491662,451965,1962-01-02 00:00:00,Charter Discontinued,Not Applicable,19620102,1962,"SANTA CRUZ BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57568,286167,451965,1961-03-04 00:00:00,Charter Discontinued,Not Applicable,19610304,1961,"PAJARO VALLEY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57611,572066,451965,1960-12-02 00:00:00,Charter Discontinued,Not Applicable,19601202,1960,"MARYSVILLE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57704,531465,451965,1960-03-25 00:00:00,Charter Discontinued,Not Applicable,19600325,1960,"SAN FRANCISCO MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
